update_date,corp_date,corp_name,corp_rate,key_id
2016-06-19,2013-03-27,3392,2,339220130327
2016-06-19,2013-03-27,3624,100,362420130327
2016-06-19,2013-03-27,3723,100,372320130327
2016-06-19,2013-03-27,3726,10,372620130327
2016-06-19,2013-03-27,3747,100,374720130327
2016-06-19,2013-03-27,3762,200,376220130327
2016-06-19,2013-03-27,3765,10,376520130327
2016-06-19,2013-03-27,3776,500,377620130327
2016-06-19,2013-03-27,3830,100,383020130327
2016-06-19,2013-03-27,3835,400,383520130327
2016-06-19,2013-03-27,3841,100,384120130327
2016-06-19,2013-03-27,3850,200,385020130327
2016-06-19,2013-03-27,3851,200,385120130327
2016-06-19,2013-03-27,4241,1.2,424120130327
2016-06-19,2013-03-27,4281,100,428120130327
2016-06-19,2013-03-27,4282,2,428220130327
2016-06-19,2013-03-27,4327,100,432720130327
2016-06-19,2013-03-27,4346,10,434620130327
2016-06-19,2013-03-27,4565,100,456520130327
2016-06-19,2013-03-27,4800,100,480020130327
2016-06-19,2013-03-27,4923,1.1,492320130327
2016-06-19,2013-03-27,5742,100,574220130327
2016-06-19,2013-03-27,5912,2,591220130327
2016-06-19,2013-03-27,6055,2,605520130327
2016-06-19,2013-03-27,6072,2,607220130327
2016-06-19,2013-03-27,6402,1.3,640220130327
2016-06-19,2013-03-27,6405,1.2,640520130327
2016-06-19,2013-03-27,6409,100,640920130327
2016-06-19,2013-03-27,6648,100,664820130327
2016-06-19,2013-03-27,7483,2,748320130327
2016-06-19,2013-03-27,7604,100,760420130327
2016-06-19,2013-03-27,8591,10,859120130327
2016-06-19,2013-03-27,8593,10,859320130327
2016-06-19,2013-03-27,8709,100,870920130327
2016-06-19,2013-03-27,8783,100,878320130327
2016-06-19,2013-03-27,8898,100,889820130327
2016-06-19,2013-03-27,8903,100,890320130327
2016-06-19,2013-03-27,8928,2,892820130327
2016-06-19,2013-03-27,8944,100,894420130327
2016-06-19,2013-03-27,8995,100,899520130327
2016-06-19,2013-03-27,8999,3,899920130327
2016-06-19,2013-03-27,9433,2,943320130327
2016-06-19,2013-03-27,9438,100,943820130327
2016-06-19,2013-03-27,9641,0.5,964120130327
